,DiaChi,GiaBan,DuAn,DienTich(m2),TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem,Quan
0,"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.7,Ricca,58.0,Đã bàn giao,29.31,2.0,,,,Nội thất đầy đủ,,,, Thành phố Thủ Đức
1,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",8.0,Sunrise City,162.75,Chưa bàn giao,49.16,4.0,3.0,8.0,,,,Tây,, Quận 7
2,"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.67,Ricca,56.0,Đã bàn giao,29.82,2.0,1.0,,Đã có sổ,,,,, Thành phố Thủ Đức
3,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.5,Saigon Riverside Complex Q7,66.6,Đã bàn giao,37.54,2.0,2.0,30.0,,,,Bắc,, Quận 7
4,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",6.5,Sunrise City,162.0,Đã bàn giao,40.12,3.0,3.0,,,,Đông,Tây,, Quận 7
5,"Phạm Văn Đồng, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",2.55,,80.0,Chưa bàn giao,31.88,3.0,,,Đã có sổ,,,,, Quận Bình Thạnh
6,"Long Trường, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.98651494,Centana Điền Phúc Thành,110.8,Chưa bàn giao,35.98,3.0,,33.0,,,Tây,,, Thành phố Thủ Đức
7,"Lê Văn Khương, Phường Thới An, Quận 12, Tp Hồ Chí Minh",1.58,,45.0,Chưa bàn giao,35.11,1.0,1.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận 12
8,"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",0.5,PiCity High Park,57.0,Chưa bàn giao,8.77,2.0,1.0,18.0,,,,Nam,, Quận 12
9,"Đường Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh",3.4,,85.0,Đã bàn giao,40.0,3.0,2.0,,,,Đông Nam,,, Huyện Bình Chánh
10,"Đỗ Xuân Hợp, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.9,Flora Anh Đào,54.0,Chưa bàn giao,35.19,1.0,1.0,,,,,,, Thành phố Thủ Đức
11,"Đỗ Xuân Hợp, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.8,Flora Anh Đào,54.0,Chưa bàn giao,33.33,1.0,1.0,,,,,,, Thành phố Thủ Đức
12,"278 – 283, Bến Vân Đồn, Phường 2, Quận 4, Tp Hồ Chí Minh",3.05,Grand Riverside,55.0,Đã bàn giao,55.45,1.0,1.0,,,Nhà trống,,,, Quận 4
13,"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.2,The Origami – Vinhomes Grand Park,81.5,Đã bàn giao,39.26,3.0,2.0,,,,,,Căn góc, Thành phố Thủ Đức
14,"Long Trường, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.549552028,Centana Điền Phúc Thành,63.4,Chưa bàn giao,40.21,2.0,1.0,7.0,,,Tây,,, Thành phố Thủ Đức
15,"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.16,Vinhomes Grand Park,59.0,Đã bàn giao,36.61,2.0,2.0,,,Bàn giao thô,,,, Thành phố Thủ Đức
16,"KĐT Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.099694,The Beverly Solari - Vinhomes Grand Park,46.9,Chưa bàn giao,44.77,1.0,1.0,3.0,,,,,, Thành phố Thủ Đức
17,"7A, Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",1.36,ResGreen Tower,76.0,Đã bàn giao,17.89,2.0,2.0,10.0,,,Đông Nam,Tây Bắc,, Quận Tân Phú
18,"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",2.1,PiCity High Park,58.0,Chưa bàn giao,36.21,2.0,1.0,12.0,,,,Đông,, Quận 12
19,"Đường Song Hành, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.85,Jamila Khang Điền,75.0,Đã bàn giao,38.0,2.0,2.0,,Đã có sổ,,,,, Thành phố Thủ Đức
20,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.72,Vinhomes Grand Park,67.0,Đã bàn giao,25.67,2.0,2.0,,Đã có sổ,Nhà trống,,,, Thành phố Thủ Đức
21,"Hẻm 332 Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",2.9,,51.0,Chưa bàn giao,56.86,2.0,2.0,,Đã có sổ,Nội thất cao cấp,,,, Quận Bình Thạnh
22,"Dương Quảng Hàm, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",1.32,Osimi Tower,68.0,Đã bàn giao,19.41,2.0,2.0,9.0,,,Đông Nam,Tây Bắc,, Quận Gò Vấp
23,"Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.49,Lavita Charm,69.0,Đã bàn giao,21.59,2.0,2.0,15.0,,,Đông Nam,Tây Bắc,, Thành phố Thủ Đức
24,"20, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.36,Opal Garden,76.0,Đã bàn giao,17.89,2.0,2.0,9.0,,,Đông Nam,Tây Bắc,, Thành phố Thủ Đức
25,"Thống Nhất, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",1.5,,45.0,Đã bàn giao,33.33,1.0,,,,,,,, Quận Gò Vấp
