DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",Ricca,58 m²,Đã bàn giao,"29,31 triệu/m²",2 phòng,,,,Nội thất đầy đủ,,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",8 tỷ,Sunrise City,162.75 m²,Chưa bàn giao,"49,16 triệu/m²",4 phòng,3 phòng,8,,,,Tây,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,67 tỷ",Ricca,56 m²,Đã bàn giao,"29,82 triệu/m²",2 phòng,1 phòng,,Đã có sổ,,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,5 tỷ",Saigon Riverside Complex Q7,66.6 m²,Đã bàn giao,"37,54 triệu/m²",2 phòng,2 phòng,30,,,,Bắc,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","6,5 tỷ",Sunrise City,162 m²,Đã bàn giao,"40,12 triệu/m²",3 phòng,3 phòng,,,,Đông,Tây,
"Phạm Văn Đồng, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh","2,55 tỷ",,80 m²,Chưa bàn giao,"31,88 triệu/m²",3 phòng,,,Đã có sổ,,,,
"Long Trường, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,98651494 tỷ",Centana Điền Phúc Thành,110.8 m²,Chưa bàn giao,"35,98 triệu/m²",3 phòng,,33,,,Tây,,
"Lê Văn Khương, Phường Thới An, Quận 12, Tp Hồ Chí Minh","1,58 tỷ",,45 m²,Chưa bàn giao,"35,11 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",500 triệu,PiCity High Park,57 m²,Chưa bàn giao,"8,77 triệu/m²",2 phòng,1 phòng,18,,,,Nam,
"Đường Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","3,4 tỷ",,85 m²,Đã bàn giao,40 triệu/m²,3 phòng,2 phòng,,,,Đông Nam,,
"Đỗ Xuân Hợp, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,9 tỷ",Flora Anh Đào,54 m²,Chưa bàn giao,"35,19 triệu/m²",1 phòng,1 phòng,,,,,,
"Đỗ Xuân Hợp, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,8 tỷ",Flora Anh Đào,54 m²,Chưa bàn giao,"33,33 triệu/m²",1 phòng,1 phòng,,,,,,
"278 – 283, Bến Vân Đồn, Phường 2, Quận 4, Tp Hồ Chí Minh","3,05 tỷ",Grand Riverside,55 m²,Đã bàn giao,"55,45 triệu/m²",1 phòng,1 phòng,,,Nhà trống,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,2 tỷ",The Origami – Vinhomes Grand Park,81.5 m²,Đã bàn giao,"39,26 triệu/m²",3 phòng,2 phòng,,,,,,Căn góc
"Long Trường, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,549552028 tỷ",Centana Điền Phúc Thành,63.4 m²,Chưa bàn giao,"40,21 triệu/m²",2 phòng,1 phòng,7,,,Tây,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,16 tỷ",Vinhomes Grand Park,59 m²,Đã bàn giao,"36,61 triệu/m²",2 phòng,2 phòng,,,Bàn giao thô,,,
"KĐT Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,099694 tỷ",The Beverly Solari - Vinhomes Grand Park,46.9 m²,Chưa bàn giao,"44,77 triệu/m²",1 phòng,1 phòng,3,,,,,
"7A, Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","1,36 tỷ",ResGreen Tower,76 m²,Đã bàn giao,"17,89 triệu/m²",2 phòng,2 phòng,10,,,Đông Nam,Tây Bắc,
"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","2,1 tỷ",PiCity High Park,58 m²,Chưa bàn giao,"36,21 triệu/m²",2 phòng,1 phòng,12,,,,Đông,
"Đường Song Hành, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,85 tỷ",Jamila Khang Điền,75 m²,Đã bàn giao,38 triệu/m²,2 phòng,2 phòng,,Đã có sổ,,,,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,72 tỷ",Vinhomes Grand Park,67 m²,Đã bàn giao,"25,67 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nhà trống,,,
"Hẻm 332 Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","2,9 tỷ",,51 m²,Chưa bàn giao,"56,86 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Dương Quảng Hàm, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","1,32 tỷ",Osimi Tower,68 m²,Đã bàn giao,"19,41 triệu/m²",2 phòng,2 phòng,9,,,Đông Nam,Tây Bắc,
"Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,49 tỷ",Lavita Charm,69 m²,Đã bàn giao,"21,59 triệu/m²",2 phòng,2 phòng,15,,,Đông Nam,Tây Bắc,
"20, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,36 tỷ",Opal Garden,76 m²,Đã bàn giao,"17,89 triệu/m²",2 phòng,2 phòng,9,,,Đông Nam,Tây Bắc,
"Thống Nhất, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","1,5 tỷ",,45 m²,Đã bàn giao,"33,33 triệu/m²",1 phòng,,,,,,,
"13B, Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","1,9 tỷ",,80 m²,Đã bàn giao,"23,75 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nhà trống,,,
"B2, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","2,4 tỷ",,35 m²,Đã bàn giao,"68,57 triệu/m²",1 phòng,1 phòng,3,,,,Nam,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","4,95 tỷ",,106 m²,Chưa bàn giao,"46,7 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,Đông Bắc,,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,75 tỷ",Ricca,56 m²,Đã bàn giao,"31,25 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","1,5 tỷ",,60 m²,Đã bàn giao,25 triệu/m²,2 phòng,2 phòng,,,,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,899 tỷ",Vinhomes Grand Park,59 m²,Đã bàn giao,"32,19 triệu/m²",2 phòng,1 phòng,,,,,,
"307, Nguyễn Duy Trinh, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,6 tỷ",,75 m²,Đã bàn giao,"34,67 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"Số 243, Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh","1,28 tỷ",Summer Square,68 m²,Đã bàn giao,"18,82 triệu/m²",2 phòng,2 phòng,8,,,Đông Nam,Tây Bắc,
"Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","1,32 tỷ",Green River - Quận 8,68 m²,Đã bàn giao,"19,41 triệu/m²",2 phòng,2 phòng,9,,,Đông Nam,Tây Bắc,
"Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","1,1 tỷ",,52 m²,Đã bàn giao,"21,15 triệu/m²",2 phòng,1 phòng,2,Giấy tờ khác,,,,
"Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","6,6 tỷ",Park Legend,88 m²,Đã bàn giao,75 triệu/m²,3 phòng,2 phòng,14,,,,Tây,
"39, Bến Vân Đồn, Phường 13, Quận 4, Tp Hồ Chí Minh","1,58 tỷ",The Tresor,78 m²,Đã bàn giao,"20,26 triệu/m²",2 phòng,2 phòng,8,,,Đông Nam,Tây Bắc,
