DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,25 tỷ",Vinhomes Grand Park,27 m²,Đã bàn giao,"46,3 triệu/m²",1 phòng,1 phòng,,,,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,9 tỷ",Saigon Riverside Complex Q7,54 m²,Đã bàn giao,"35,19 triệu/m²",1 phòng,,,,,,,
"Đường Tên Lửa, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",800 triệu,,34 m²,Đã bàn giao,"23,53 triệu/m²",1 phòng,,,,,,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","2,9 tỷ",Sunrise City,69 m²,Đã bàn giao,"42,03 triệu/m²",2 phòng,2 phòng,10,,,Đông Nam,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,9 tỷ",Saigon Riverside Complex Q7,53 m²,Đã bàn giao,"35,85 triệu/m²",1 phòng,1 phòng,,,,,,
"528, Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh","2,9 tỷ",Căn hộ Luxcity,59 m²,Đã bàn giao,"49,15 triệu/m²",2 phòng,1 phòng,,,,,Bắc,
"NGUYỄN BỈNH KHIÊM, Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,2 tỷ",,90 m²,Đã bàn giao,"35,56 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp,,,
"NGUYỄN BỈNH KHIÊM, Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,56 tỷ",,73 m²,Chưa bàn giao,"35,07 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,7 tỷ",Saigon Riverside Complex Q7,75 m²,Đã bàn giao,36 triệu/m²,2 phòng,,,,,,,
"Đường số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,9 tỷ",,75 m²,Chưa bàn giao,52 triệu/m²,2 phòng,,,Đang chờ sổ,,Đông Bắc,Tây Nam,
"163, Phan Đăng Lưu, Phường 1, Quận Phú Nhuận, Tp Hồ Chí Minh","4,6 tỷ",Cao ốc Satra - Eximland,88 m²,Đã bàn giao,"52,27 triệu/m²",2 phòng,2 phòng,10,,,,,
"Đường Phan Chu Trinh, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","2,85 tỷ",,62 m²,Chưa bàn giao,"45,97 triệu/m²",2 phòng,1 phòng,17,Đã có sổ,,,,
"151, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh","2,1 tỷ",River Gate,31 m²,Đã bàn giao,"67,74 triệu/m²",1 phòng,1 phòng,,,,Tây Nam,Đông Bắc,
"151, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh","2,1 tỷ",River Gate,31 m²,Đã bàn giao,"67,74 triệu/m²",1 phòng,1 phòng,,,,Tây Nam,Đông Bắc,
"Đường Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","3,299 tỷ",,69 m²,Chưa bàn giao,"47,81 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,8 tỷ",Saigon Gateway,68 m²,Đã bàn giao,"26,47 triệu/m²",2 phòng,1 phòng,,,,,,
"241/42, Nguyễn Văn Luông, Phường 11, Quận 6, Tp Hồ Chí Minh","2,45 tỷ",Starlight Riverside,72 m²,Đã bàn giao,"34,03 triệu/m²",2 phòng,2 phòng,10,,,,,
"Đường Bàu Cát 6, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","1,5 tỷ",,32 m²,Đã bàn giao,"46,88 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Tăng Nhơn Phú, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,2 tỷ",9 View Apartment,86 m²,Đã bàn giao,"25,58 triệu/m²",3 phòng,2 phòng,,,,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,8 tỷ",Vinhomes Grand Park,39 m²,Đã bàn giao,"46,15 triệu/m²",1 phòng,,7,,,,,
"Đường Số 4, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,5 tỷ",,73 m²,Chưa bàn giao,"61,64 triệu/m²",2 phòng,,,,,,,
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,5 tỷ",Saigon Riverside Complex Q7,67 m²,Đã bàn giao,"37,31 triệu/m²",2 phòng,,,,,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,2 tỷ",Saigon Riverside Complex Q7,57 m²,Đã bàn giao,"38,6 triệu/m²",1 phòng,,,,,,,
"102, Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","1,86 tỷ",Topaz Home,60 m²,Đã bàn giao,31 triệu/m²,2 phòng,,,,,Đông Nam,Tây Bắc,
"Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","2,35 tỷ",Sky Garden 3,56 m²,Đã bàn giao,"41,96 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh","1,4 tỷ",Dream Home Riverside,57 m²,Chưa bàn giao,"24,56 triệu/m²",2 phòng,2 phòng,,,,,,
"Tăng Nhơn Phú, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,98 tỷ",9 View Apartment,58 m²,Đã bàn giao,"34,14 triệu/m²",2 phòng,,8,,,Đông Nam,Tây Bắc,
"Đường Bế Văn Cấm, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh","3,79 tỷ",,86 m²,Đã bàn giao,"44,07 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,,,,
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","4,1 tỷ",,72 m²,Chưa bàn giao,"56,94 triệu/m²",2 phòng,2 phòng,,,Nhà trống,,,
"số 1A, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","2,3 tỷ",Tara Residence,78 m²,Đã bàn giao,"29,49 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,Tây Bắc,
"Trương Công Định, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","3,4 tỷ",,80 m²,Đã bàn giao,"42,5 triệu/m²",2 phòng,,,,,,,
"Đường Nguyễn Văn Linh, Phường 7, Quận 8, TP. Hồ Chí Minh, Phường 7, Quận 8, Tp Hồ Chí Minh","1,42 tỷ",Dream Home Riverside,57 m²,Chưa bàn giao,"24,91 triệu/m²",2 phòng,2 phòng,,,,,,
"171A, Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","3,7 tỷ",Carillon 1,74 m²,Đã bàn giao,50 triệu/m²,2 phòng,2 phòng,,Đã có sổ,,,,
"33, Lương Minh Nguyệt, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh","2,95 tỷ",,66 m²,Đã bàn giao,"44,7 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Chung Cư Ngô Tất Tố 76, Đường Ngô Tất Tố, Phường 19, Quận Bình Thạnh, Tp Hồ Chí Minh","2,85 tỷ",,68.5 m²,Đã bàn giao,"41,61 triệu/m²",2 phòng,1 phòng,,,,Bắc,Nam,
